sale_date,product,category,color,brand,country,quantity,payment_type
2026-06-26,boots,Casual,Blue,Timberland,Nigeria,4,Bank Transfer
2026-06-16,oxford,FORMAL,Blue,Nike,UK,10,Cash
2026-06-12,Monk Straps,open,Black,Nike,Cyprus,14,Cash
2026-06-28,Slippers,CASUAL,Green,timberland,USA,8,Mobile Money
2026-01-09,CANVAS,Formal,Black,ZARA,Germany,3,Cash
2026-07-05,Canvas,FORMAL,Black,Clarks,Zimbabwe,13,Bank Transfer
2026-06-23,derby,FORMAL,Green,nike,Nigeria,8,Bank Transfer
2026-03-09,Loafers,Casual,Green,timberland,Zimbabwe,6,Bank Transfer
2026-01-21,Oxford,Formal,Red,zara,Australia,14,Cash
2026-05-20,slippers,CASUAL,Blue,clarks,Ghana,1,Card
2026-05-27,Canvas,FORMAL,Green,nike,Kenya,11,Mobile Money
2026-05-26,DERBY,CASUAL,Black,clarks,Ghana,9,Bank Transfer
2026-05-14,Brogues,formal,Green,ZARA,Kenya,2,Bank Transfer
2026-01-15,monk straps,Formal,Brown,zara,Zimbabwe,9,Card
2026-06-02,slippers,Formal,Brown,ZARA,Kenya,8,Card
2026-05-31,Boots,FORMAL,Green,NIKE,UK,9,Bank Transfer
2026-01-02,BOOTS,formal,Black,clarks,Canada,11,Card
2026-01-25,OXFORD,Utility,Black,clarks,Kenya,8,Bank Transfer
2026-03-31,Derby,open,Green,Zara,India,7,Cash
2026-03-04,LOAFERS,Formal,Red,steve madden,Cyprus,8,Cash
2026-04-05,Monk Straps,Utility,Red,zara,Kenya,13,Mobile Money
2026-03-26,BROGUES,UTILITY,Brown,zara,Uganda,14,Card
2026-04-30,MONK STRAPS,open,Brown,CLARKS,Cyprus,11,Mobile Money
2026-01-07,BOOTS,Open,Green,Zara,Zimbabwe,14,Card
2026-03-31,canvas,FORMAL,Red,nike,Cyprus,13,Bank Transfer
2026-07-17,oxford,casual,Black,nike,Ghana,9,Mobile Money
2026-04-22,oxford,Utility,Brown,TIMBERLAND,Zimbabwe,6,Mobile Money
2026-07-07,Brogues,Utility,Blue,timberland,Philippines,12,Cash
2026-03-18,Canvas,open,Green,NIKE,Canada,7,Bank Transfer
2026-04-22,LOAFERS,utility,Blue,TIMBERLAND,Uganda,14,Mobile Money
2026-05-17,Boots,OPEN,Blue,CLARKS,Zimbabwe,8,Mobile Money
2026-02-14,Oxford,FORMAL,Red,ZARA,Germany,3,Bank Transfer
2026-07-10,BOOTS,Formal,Red,Zara,Australia,15,Mobile Money
2026-03-29,OXFORD,utility,Brown,Steve Madden,Ghana,5,Card
2026-05-06,OXFORD,UTILITY,Green,Clarks,UK,2,Card
2026-04-22,Canvas,casual,Black,ZARA,Canada,14,Cash
2026-02-24,canvas,Formal,Brown,Timberland,Nigeria,5,Bank Transfer
2026-05-13,brogues,formal,Blue,Clarks,India,13,Mobile Money
2026-05-30,CANVAS,Formal,Green,timberland,UK,3,Bank Transfer
2026-03-06,Slippers,Formal,Green,CLARKS,Albania,8,Card
2026-08-01,slippers,Utility,Red,CLARKS,Albania,1,Mobile Money
2026-01-30,derby,casual,Blue,steve madden,UK,5,Cash
2026-07-05,Slippers,Casual,Green,Zara,India,8,Bank Transfer
2026-04-22,derby,formal,Blue,Steve Madden,USA,4,Card
2026-06-29,MONK STRAPS,Casual,Blue,Clarks,UK,4,Card
2026-05-12,Brogues,casual,Black,Steve Madden,Zimbabwe,10,Card
2026-02-09,Brogues,Formal,Red,Zara,Uganda,8,Cash
2026-03-27,MONK STRAPS,CASUAL,Green,NIKE,UK,5,Bank Transfer
2026-03-25,Brogues,casual,Red,timberland,Kenya,2,Card
2026-07-06,canvas,Casual,Red,timberland,Kenya,6,Mobile Money
2026-08-13,BROGUES,CASUAL,Blue,steve madden,Germany,7,Cash
2026-06-28,boots,FORMAL,Green,zara,Australia,3,Card
2026-02-27,monk straps,FORMAL,Brown,Clarks,Kenya,5,Bank Transfer
2026-02-21,Derby,Open,Green,Clarks,USA,3,Bank Transfer
2026-03-05,brogues,Open,Red,TIMBERLAND,Germany,7,Cash
2026-05-02,derby,Casual,Brown,CLARKS,Australia,3,Bank Transfer
2026-05-20,CANVAS,FORMAL,Green,Clarks,Germany,8,Cash
2026-03-24,derby,casual,Red,zara,Philippines,3,Card
2026-06-02,SLIPPERS,UTILITY,Blue,Steve Madden,USA,5,Cash
2026-04-14,monk straps,casual,Red,Clarks,Germany,3,Mobile Money
2026-06-16,Oxford,FORMAL,Black,clarks,Kenya,13,Card
2026-01-01,boots,Casual,Red,clarks,India,12,Cash
2026-07-04,MONK STRAPS,CASUAL,Black,CLARKS,USA,3,Card
2026-06-15,oxford,OPEN,Brown,Clarks,Canada,2,Cash
2026-06-05,Canvas,formal,Black,zara,Cyprus,14,Cash
2026-06-20,Brogues,formal,Red,clarks,USA,4,Mobile Money
2026-07-12,loafers,formal,Red,nike,Uganda,4,Cash
2026-04-19,boots,Formal,Brown,Clarks,Nigeria,4,Card
2026-08-11,slippers,OPEN,Black,NIKE,Uganda,1,Cash
2026-08-04,Boots,formal,Red,ZARA,Kenya,5,Cash
2026-06-27,BROGUES,Formal,Brown,zara,Australia,5,Cash
2026-01-08,brogues,formal,Blue,steve madden,Ghana,3,Cash
2026-07-23,Brogues,FORMAL,Blue,STEVE MADDEN,Germany,11,Bank Transfer
2026-08-01,BOOTS,CASUAL,Black,clarks,Kenya,9,Mobile Money
2026-07-20,Oxford,Formal,Blue,zara,USA,15,Bank Transfer
2026-01-27,Monk Straps,CASUAL,Blue,zara,UK,10,Cash
2026-03-02,Slippers,FORMAL,Brown,zara,Cyprus,5,Cash
2026-05-18,Slippers,formal,Green,Clarks,Australia,9,Cash
2026-07-17,MONK STRAPS,formal,Black,CLARKS,Albania,1,Cash
2026-03-13,BOOTS,Casual,Blue,Clarks,Canada,8,Card
2026-06-04,Oxford,open,Green,Clarks,India,8,Mobile Money
2026-07-28,Derby,open,Red,CLARKS,Cyprus,9,Card
2026-06-30,BROGUES,CASUAL,Black,NIKE,Philippines,10,Bank Transfer
2026-08-04,canvas,open,Green,Clarks,Ghana,6,Card
2026-06-04,Canvas,Formal,Green,NIKE,Ghana,4,Cash
2026-03-18,MONK STRAPS,Formal,Black,Timberland,Nigeria,4,Bank Transfer
2026-01-13,boots,FORMAL,Red,STEVE MADDEN,USA,14,Bank Transfer
2026-06-02,Brogues,Formal,Green,STEVE MADDEN,USA,8,Card
2026-01-22,BOOTS,FORMAL,Black,CLARKS,USA,3,Card
2026-04-30,CANVAS,CASUAL,Red,CLARKS,Cyprus,10,Bank Transfer
2026-03-09,loafers,UTILITY,Black,clarks,Ghana,7,Card
2026-07-08,Slippers,Formal,Black,Nike,USA,6,Mobile Money
2026-02-07,Derby,FORMAL,Black,nike,India,13,Mobile Money
2026-01-26,MONK STRAPS,CASUAL,Black,Clarks,Nigeria,4,Bank Transfer
2026-07-31,Slippers,Formal,Brown,zara,Zimbabwe,3,Bank Transfer
2026-02-25,Canvas,CASUAL,Brown,zara,UK,13,Mobile Money
2026-04-19,boots,casual,Brown,Nike,Kenya,9,Bank Transfer
2026-05-25,loafers,Casual,Black,steve madden,India,10,Bank Transfer
2026-01-09,Slippers,CASUAL,Green,Nike,USA,6,Cash
2026-07-11,Derby,Casual,Black,Clarks,USA,15,Card
2026-07-16,Slippers,FORMAL,Brown,clarks,Canada,11,Card
2026-02-27,MONK STRAPS,casual,Brown,ZARA,Albania,9,Cash
2026-05-31,derby,Formal,Brown,ZARA,Philippines,8,Mobile Money
2026-05-03,boots,FORMAL,Red,Clarks,Nigeria,13,Mobile Money
2026-07-12,Canvas,CASUAL,Red,ZARA,Cyprus,6,Cash
2026-01-04,OXFORD,Casual,Brown,TIMBERLAND,India,3,Mobile Money
2026-02-25,DERBY,Formal,Brown,Clarks,Germany,8,Bank Transfer
2026-02-12,Monk Straps,formal,Black,zara,Albania,15,Mobile Money
2026-07-15,monk straps,FORMAL,Red,Clarks,UK,2,Bank Transfer
2026-04-25,brogues,Formal,Red,clarks,Germany,10,Mobile Money
2026-01-23,Loafers,Formal,Red,NIKE,India,5,Bank Transfer
2026-03-14,DERBY,Formal,Brown,Zara,Canada,15,Cash
2026-02-11,Canvas,formal,Black,steve madden,Zimbabwe,15,Cash
2026-05-12,BOOTS,Open,Red,Clarks,Nigeria,10,Card
2026-02-26,Canvas,Open,Red,CLARKS,Canada,5,Bank Transfer
2026-04-21,Derby,OPEN,Brown,TIMBERLAND,India,5,Cash
2026-06-25,loafers,open,Black,Zara,Uganda,8,Bank Transfer
2026-06-02,oxford,FORMAL,Green,steve madden,Kenya,3,Bank Transfer
2026-06-11,canvas,CASUAL,Green,CLARKS,Nigeria,5,Mobile Money
2026-07-15,Derby,casual,Red,CLARKS,Germany,4,Bank Transfer
